Version;Date;Description;VLAB_issue;Input_Change?;Type;Category;Sub_Category
3.30.14.00;2019-07-19;clean-up a report omission;;;fix;output;output
3.30.14.00;2019-07-16;Fix an unassigned variable in spawn_recr method 7, caused poor convergence;#66044;_;fix;recruitment;calc
3.30.14.00;2019-07-16;Improve internal consistency of jitter calculation;#65995;_;revise;parameter;calc
3.30.14.00;2019-07-12;Revise tag parameter input to allow mirroring (sharing);#65893;Cond;revise;tag;input
3.30.14.00;2019-07-12;Revise movement parameter input to set old fish movement = young fish movement rate;;Cond;New;movement;input
3.30.13.10;2019-07-10;Fix error in uninitialized nabins (number of age bins) issue (occurs when nabins = 0);#65854;No;fix;age_data;input
3.30.13.10;2019-07-10;Fix forecast error with new buffer methods 3 and 4;#65275;No;fix;forecast;calc
3.30.13.09;2019-07-01;Fix error in Lorenzen M for seasonal models;#65581;No;fix;natM;calc
3.30.13.09;2019-07-01;Fix error in Richards growth.  Noticed with seasonal models but could affect annual also for first age with growth;#65581;No;fix;growth;calc
3.30.13.09;2019-06-28;revise the SPR search to search for SPR*100 to improve numerical precision;#65508;No;revise;benchmark;calc
3.30.13.08;2019-06-15;improve forecast robustness;#65043;No;revise;forecast;calc
3.30.13.08;2019-06-16;"fix storing body-wt-at-age in forecast, which fixes calculation of totbio in time_series output";#65043;No;fix;forecast;output
3.30.13.07;2019-06-13;fix to mean size-at-age Input check;;No;fix;input;
3.30.13.06;2019-06-10;fix to forecast recruitment when using recent mean;#64801;No;fix;forecast;
3.30.13.06;2019-06-10;fix to Fit_SizeComp output when using a one sex model;#64821;No;fix;output;
3.30.13.05;2019-06-04;minor fix to repair fatal interaction between Lorenzen M and growth specification.;#64589;No;fix;natM;
3.30.13.04;2019-05-31;add parm_gradient for F parameters;#64449;No;revise;output;
3.30.13.04;2019-05-31;fix output of dirichlet parameters to control.ss_new;#64174;No;fix;output;
3.30.13.04;2019-05-31;fix assignment of forecast relF when bycatch fleet is not associated with input catch;#64476;No;fix;forecast;
3.30.13.03;2019-05-14;revise format of LIKELIHOOD table in report.sso so all rows have 3 elements and info for Laplace calculations is shown;;No;revise;output;
3.30.13.02;2019-05-08;change trans so that conversion of retention asymptotic parm always occurs;;No;revise;input;
3.30.13.02;2019-05-08;fix implementation of profilevalues.ss for spawn_recruitment parameters;;No;fix;input;
3.30.13.01;2019-04-19;fix implementation of catch_mult and its time-varying capability;;No;fix;catch;
3.30.13.00;2019-03-08;fix formatting problem for tags output in compreport.sso;;;fix;tag;
